,date,ticker,weight
0,2017-02-28,270,0.0014
1,2017-02-28,660,0.0314
2,2017-02-28,720,0.0014
3,2017-02-28,810,0.0
4,2017-02-28,880,0.0
5,2017-02-28,990,0.0571
6,2017-02-28,1450,0.0
7,2017-02-28,1570,0.09
8,2017-02-28,4020,0.0471
9,2017-02-28,4370,0.0014
10,2017-02-28,5380,0.0014
11,2017-02-28,5490,0.0014
12,2017-02-28,5830,0.0
13,2017-02-28,5940,0.0014
14,2017-02-28,6260,0.0
15,2017-02-28,6400,0.0457
16,2017-02-28,6800,0.0014
17,2017-02-28,7070,0.0
18,2017-02-28,8770,0.0014
19,2017-02-28,9150,0.03
20,2017-02-28,9830,0.0014
21,2017-02-28,10120,0.0414
22,2017-02-28,10130,0.0014
23,2017-02-28,10620,0.0414
24,2017-02-28,10950,0.0
25,2017-02-28,11070,0.0457
26,2017-02-28,11170,0.03
27,2017-02-28,11780,0.05
28,2017-02-28,12330,0.0014
29,2017-02-28,12450,0.05
30,2017-02-28,15760,0.0043
31,2017-02-28,16360,0.0
32,2017-02-28,20150,0.09
33,2017-02-28,21240,0.0014
34,2017-02-28,24110,0.0014
35,2017-02-28,29780,0.0014
36,2017-02-28,30200,0.0
37,2017-02-28,32640,0.0
38,2017-02-28,32830,0.0
39,2017-02-28,33780,0.0014
40,2017-02-28,34020,0.0014
41,2017-02-28,34220,0.0014
42,2017-02-28,34730,0.0014
43,2017-02-28,35250,0.0
44,2017-02-28,36460,0.0014
45,2017-02-28,36570,0.0514
46,2017-02-28,39490,0.0
47,2017-02-28,47050,0.0
48,2017-02-28,51900,0.0
49,2017-02-28,51910,0.0
50,2017-02-28,52690,0.04
51,2017-02-28,55550,0.0
52,2017-02-28,66570,0.0157
53,2017-02-28,68270,0.0
54,2017-02-28,71050,0.0
55,2017-02-28,78930,0.0
56,2017-02-28,86280,0.0
57,2017-02-28,86790,0.0014
58,2017-02-28,96770,0.0014
59,2017-02-28,97950,0.0
60,2017-02-28,105560,0.0
61,2017-02-28,111770,0.0914
62,2017-02-28,128940,0.0671
63,2017-02-28,138040,0.0
64,2017-02-28,138930,0.0029
65,2017-02-28,139480,0.0457
66,2017-02-28,161390,0.0014
67,2017-03-31,270,0.0014
68,2017-03-31,660,0.0757
69,2017-03-31,720,0.0
70,2017-03-31,810,0.0
71,2017-03-31,880,0.0
72,2017-03-31,990,0.06
73,2017-03-31,1450,0.0014
74,2017-03-31,1570,0.1086
75,2017-03-31,4020,0.0029
76,2017-03-31,4370,0.0014
77,2017-03-31,5380,0.0014
78,2017-03-31,5490,0.0014
79,2017-03-31,5830,0.0
80,2017-03-31,5940,0.0014
